file,corruption,mode,count,valid_caption_rate,invalid_output_rate,caption_class_hit,caption_topk_class_hit,avg_caption_length,distinct_caption_count,repetition_rate,real_minus_vision,real_minus_shuffled,real_minus_random
reranking/clean_vision_only.jsonl,clean,vision_only,1997,0.9969954932398598,0.003004506760140191,0.5873810716074112,0.6169253880821232,10.435152729093641,273,0.20588769990372394,0.0070105157736604085,0.03605408112168251,0.04406609914872306
reranking/clean_real_eeg.jsonl,clean,real_eeg,1997,0.9939909864797196,0.006009013520280382,0.5943915873810716,0.614922383575363,10.463695543314973,653,0.20497438215264957,0.0070105157736604085,0.03605408112168251,0.04406609914872306
reranking/clean_shuffled_eeg.jsonl,clean,shuffled_eeg,1997,0.99899849774662,0.0010015022533800266,0.558337506259389,0.628442663995994,10.406109163745619,856,0.2064467511012328,0.0070105157736604085,0.03605408112168251,0.04406609914872306
reranking/clean_random_eeg.jsonl,clean,random_eeg,1997,1.0,0.0,0.5503254882323485,0.6464697045568353,10.318978467701552,587,0.20524447315884475,0.0070105157736604085,0.03605408112168251,0.04406609914872306
reranking/clean_eeg_only.jsonl,clean,eeg_only,1997,0.99899849774662,0.0010015022533800266,0.1342013019529294,0.5448172258387581,10.387581372058087,430,0.22504663449831203,0.0070105157736604085,0.03605408112168251,0.04406609914872306
reranking/lowres16_vision_only.jsonl,lowres16,vision_only,1997,0.9544316474712068,0.04556835252879321,0.15222834251377065,0.3660490736104156,9.105157736604907,324,0.20633190878558932,0.1101652478718077,0.1477215823735603,0.16224336504757136
reranking/lowres16_real_eeg.jsonl,lowres16,real_eeg,1997,0.9554331497245869,0.04456685027541307,0.26239359038557836,0.4416624937406109,9.181772658988482,1239,0.20829500022038833,0.1101652478718077,0.1477215823735603,0.16224336504757136
reranking/lowres16_shuffled_eeg.jsonl,lowres16,shuffled_eeg,1997,0.9509263895843766,0.049073610415623414,0.11467200801201803,0.4126189283925889,9.106159238858288,1335,0.20534341722373772,0.1101652478718077,0.1477215823735603,0.16224336504757136
reranking/lowres16_random_eeg.jsonl,lowres16,random_eeg,1997,0.9479218828242364,0.052078117175763605,0.100150225338007,0.5638457686529794,9.651977966950426,903,0.23866924679393384,0.1101652478718077,0.1477215823735603,0.16224336504757136
reranking/lowres16_eeg_only.jsonl,lowres16,eeg_only,1997,0.9148723084626941,0.08512769153730593,0.11667501251877817,0.4672008012018027,9.223835753630446,685,0.20800239514560998,0.1101652478718077,0.1477215823735603,0.16224336504757136
reranking/mixed_vision_only.jsonl,mixed,vision_only,1997,0.9939909864797196,0.006009013520280382,0.039559339008512766,0.1412118177265899,10.758637956935402,190,0.23237126613441084,0.13470205307961944,0.13370055082623938,0.13870806209313974
reranking/mixed_real_eeg.jsonl,mixed,real_eeg,1997,0.9874812218327491,0.012518778167250888,0.1742613920881322,0.4762143214822233,10.220831246870306,971,0.23916825121131582,0.13470205307961944,0.13370055082623938,0.13870806209313974
reranking/mixed_shuffled_eeg.jsonl,mixed,shuffled_eeg,1997,0.9874812218327491,0.012518778167250888,0.04056084126189284,0.46619929894842266,10.358537806710066,1067,0.23770088894024796,0.13470205307961944,0.13370055082623938,0.13870806209313974
reranking/mixed_random_eeg.jsonl,mixed,random_eeg,1997,0.9929894842263395,0.0070105157736605195,0.035553329994992486,0.9364046069103655,8.945918878317476,353,0.2426207340203334,0.13470205307961944,0.13370055082623938,0.13870806209313974
reranking/mixed_eeg_only.jsonl,mixed,eeg_only,1997,0.9644466700050075,0.0355533299949925,0.1357035553329995,0.5252879318978467,10.00751126690035,586,0.24038054389832056,0.13470205307961944,0.13370055082623938,0.13870806209313974
reranking/occlusion50_vision_only.jsonl,occlusion50,vision_only,1997,0.9944917376064096,0.0055082623935903685,0.4672008012018027,0.5598397596394592,9.8492739108663,295,0.2064937274376433,0.056584877315974,0.09263895843765652,0.07611417125688535
reranking/occlusion50_real_eeg.jsonl,occlusion50,real_eeg,1997,0.9964947421131698,0.0035052578868302042,0.5237856785177767,0.5928893340010015,9.889834752128193,828,0.2066148798622509,0.056584877315974,0.09263895843765652,0.07611417125688535
reranking/occlusion50_shuffled_eeg.jsonl,occlusion50,shuffled_eeg,1997,0.9979969954932398,0.0020030045067601643,0.43114672008012017,0.586880320480721,9.888833249874812,1131,0.209249537254044,0.056584877315974,0.09263895843765652,0.07611417125688535
reranking/occlusion50_random_eeg.jsonl,occlusion50,random_eeg,1997,0.9984977466199298,0.001502253380070151,0.44767150726089133,0.6870305458187281,9.742113169754631,714,0.20869592906398118,0.056584877315974,0.09263895843765652,0.07611417125688535
reranking/occlusion50_eeg_only.jsonl,occlusion50,eeg_only,1997,0.957436154231347,0.04256384576865302,0.12969454181271908,0.5267901852779169,9.5678517776665,564,0.22709532302672011,0.056584877315974,0.09263895843765652,0.07611417125688535
reranking/strong_blur_vision_only.jsonl,strong_blur,vision_only,1997,0.9399098647971958,0.06009013520280415,0.44316474712068105,0.4912368552829244,9.265398097145718,347,0.21761740874159505,0.040060090135202786,0.06509764646970456,0.07361041562343518
reranking/strong_blur_real_eeg.jsonl,strong_blur,real_eeg,1997,0.9484226339509264,0.05157736604907359,0.48322483725588383,0.5388082123184778,9.257386079118678,1066,0.22474228742380972,0.040060090135202786,0.06509764646970456,0.07361041562343518
reranking/strong_blur_shuffled_eeg.jsonl,strong_blur,shuffled_eeg,1997,0.9364046069103655,0.06359539308963447,0.41812719078617927,0.5332999499248874,9.162243365047571,1358,0.22532957222491523,0.040060090135202786,0.06509764646970456,0.07361041562343518
reranking/strong_blur_random_eeg.jsonl,strong_blur,random_eeg,1997,0.9699549323985979,0.03004506760140213,0.40961442163244866,0.6104156234351528,9.597396094141212,1064,0.22162858701416538,0.040060090135202786,0.06509764646970456,0.07361041562343518
reranking/strong_blur_eeg_only.jsonl,strong_blur,eeg_only,1997,0.9233850776164246,0.07661492238357537,0.12168252378567852,0.45468202303455185,9.306960440660992,766,0.20371096799489388,0.040060090135202786,0.06509764646970456,0.07361041562343518
reranking/strong_noise_vision_only.jsonl,strong_noise,vision_only,1997,0.9749624436654982,0.025037556334501776,0.34501752628943416,0.5277916875312969,9.878317476214322,1085,0.2083251695169572,0.07911867801702555,0.11316975463194795,0.07911867801702555
reranking/strong_noise_real_eeg.jsonl,strong_noise,real_eeg,1997,0.9829744616925388,0.01702553830746123,0.4241362043064597,0.5317976965448172,10.128192288432649,1171,0.2109131493332795,0.07911867801702555,0.11316975463194795,0.07911867801702555
reranking/strong_noise_shuffled_eeg.jsonl,strong_noise,shuffled_eeg,1997,0.9749624436654982,0.025037556334501776,0.31096644967451176,0.5307961942914372,9.979469203805708,1301,0.20954430174510297,0.07911867801702555,0.11316975463194795,0.07911867801702555
reranking/strong_noise_random_eeg.jsonl,strong_noise,random_eeg,1997,0.9874812218327491,0.012518778167250888,0.34501752628943416,0.6174261392088132,10.308963445167752,984,0.21403056827443406,0.07911867801702555,0.11316975463194795,0.07911867801702555
reranking/strong_noise_eeg_only.jsonl,strong_noise,eeg_only,1997,0.9374061091637457,0.06259389083625433,0.14071106659989985,0.5207811717576365,10.246870305458188,671,0.2414740686898924,0.07911867801702555,0.11316975463194795,0.07911867801702555
